"n","k","balance","dist","var_type","power_anova","power_welch","power_kw","eta_min","eta_max","acceptance_rate"
6,5,"balanced","poisson","heterogeneous",0.5971,NA,0.3812,0.280045351473923,0.367504835589942,0.0822632258701393
8,5,"balanced","poisson","heterogeneous",1,NA,0.9625,0.280044101433296,0.367494653725942,0.0353885843504602
10,5,"balanced","poisson","heterogeneous",1,0.9894,0.9987,0.280043305665824,0.367466608752307,0.014314301991692
5,8,"balanced","poisson","heterogeneous",0.242,NA,0.1124,0.280043501903208,0.367456473360388,0.126823081800888
6,8,"balanced","poisson","heterogeneous",0.9507,NA,0.5841,0.280043501903208,0.367462398233752,0.0713882880374646
8,8,"balanced","poisson","heterogeneous",1,NA,0.9856,0.280044717719396,0.367480712338303,0.0191410638986136
10,8,"balanced","poisson","heterogeneous",0.4455,0.4436,0.4452,0,0.367469629752477,0.004455
5,3,"unbalanced","poisson","heterogeneous",0,NA,0.0381,0.280080213903743,0.3675,0.0951619656655628
6,3,"unbalanced","poisson","heterogeneous",0.3553,NA,0.251,0.280046373824552,0.367460317460318,0.0778937529210157
8,3,"unbalanced","poisson","heterogeneous",1,NA,0.9238,0.280046932766598,0.367445528936212,0.0465133586366004
10,3,"unbalanced","poisson","heterogeneous",1,0.9923,0.9978,0.280049245124085,0.367456840348407,0.0271795262064992
5,5,"unbalanced","poisson","heterogeneous",0.0233,NA,0.0486,0.280043586550436,0.367498636115658,0.120026405809278
6,5,"unbalanced","poisson","heterogeneous",0.5961,NA,0.3748,0.280054945054945,0.367510455646049,0.0830137304710199
8,5,"unbalanced","poisson","heterogeneous",1,NA,0.9555,0.280045351473923,0.367449522683113,0.0349292508024995
10,5,"unbalanced","poisson","heterogeneous",1,0.9876,0.9985,0.280043812518616,0.36748615985462,0.0143419346696192
5,8,"unbalanced","poisson","heterogeneous",0.2372,NA,0.1125,0.280043249922768,0.367494277161472,0.128710067701496
6,8,"unbalanced","poisson","heterogeneous",0.9526,NA,0.5857,0.280044521645277,0.367511357900051,0.0719729957320013
8,8,"unbalanced","poisson","heterogeneous",1,NA,0.9848,0.280043341213554,0.367488826353253,0.0189094539706071
10,8,"unbalanced","poisson","heterogeneous",0.4558,NA,0.4557,0,0.367480329165567,0.004558
5,3,"balanced","negbin","heterogeneous",0,NA,0.1213,0.280093798853569,0.367487684729064,0.0766806481048378
6,3,"balanced","negbin","heterogeneous",0.3262,NA,0.3084,0.280045784051889,0.367497691597415,0.0519426553085394
8,3,"balanced","negbin","heterogeneous",1,NA,0.745,0.280043305665825,0.36748783932214,0.0229057291809827
10,3,"balanced","negbin","heterogeneous",0.9722,0.857,0.9047,0,0.367499416296988,0.009722
5,5,"balanced","negbin","heterogeneous",0.0209,NA,0.1256,0.28005284015852,0.3675,0.0902812260190493
6,5,"balanced","negbin","heterogeneous",0.5631,NA,0.3363,0.280056927170348,0.367505995203837,0.0528980179112689
8,5,"balanced","negbin","heterogeneous",1,NA,0.7299,0.28004421221865,0.36743923120407,0.016714078937252
10,5,"balanced","negbin","heterogeneous",0.4985,0.3878,0.4523,0,0.367306745445593,0.004985
5,8,"balanced","negbin","heterogeneous",0.22,NA,0.1579,0.280047365304914,0.367510809141445,0.0943191571640116
6,8,"balanced","negbin","heterogeneous",0.9449,NA,0.3973,0.28004445614343,0.36750698394534,0.0455740738208848
8,8,"balanced","negbin","heterogeneous",0.8911,NA,0.6862,0,0.367501723741669,0.008911
10,8,"balanced","negbin","heterogeneous",0.1663,0.1329,0.1527,0,0.367402716612177,0.001663
5,3,"unbalanced","negbin","heterogeneous",0,NA,0.1163,0.280063291139241,0.367491467576792,0.0745656550592797
6,3,"unbalanced","negbin","heterogeneous",0.3253,NA,0.3085,0.280046373824552,0.36750280064293,0.0526144100346203
8,3,"unbalanced","negbin","heterogeneous",1,NA,0.7317,0.280044946115736,0.36747386529046,0.0229542590479951
10,3,"unbalanced","negbin","heterogeneous",0.9658,0.818,0.8885,0,0.367506802990674,0.009658
5,5,"unbalanced","negbin","heterogeneous",0.0211,NA,0.126,0.280054295298198,0.367507943385327,0.089555179423802
6,5,"unbalanced","negbin","heterogeneous",0.5633,NA,0.3304,0.280049786628734,0.367506706019861,0.0538531961871937
8,5,"unbalanced","negbin","heterogeneous",1,NA,0.7241,0.280051163381079,0.367510893246187,0.0168695226768559
10,5,"unbalanced","negbin","heterogeneous",0.5154,0.3995,0.4675,0,0.367336317408539,0.005154
5,8,"unbalanced","negbin","heterogeneous",0.2158,NA,0.1598,0.280051841451561,0.367506147714746,0.0941513200015064
6,8,"unbalanced","negbin","heterogeneous",0.9455,NA,0.4008,0.280045462684011,0.367501013060691,0.0444527422896719
8,8,"unbalanced","negbin","heterogeneous",0.8907,NA,0.6704,0,0.367472096437163,0.008907
10,8,"unbalanced","negbin","heterogeneous",0.1687,0.1312,0.1531,0,0.3674562001083,0.001687
