"n","k","balance","dist","var_type","power_anova","power_welch","power_kw","eta_min","eta_max","acceptance_rate"
5,8,"balanced","normal","homogeneous",0.386,0.3207,0.1818,0.280051918783488,0.367489800352767,0.272160683667637
6,8,"balanced","normal","homogeneous",0.9758,0.621,0.7182,0.280051704298833,0.367509297964501,0.320574469449253
8,8,"balanced","normal","homogeneous",1,0.9868,0.9986,0.280044851732443,0.367496913795465,0.367228526311924
10,8,"balanced","normal","homogeneous",1,0.9999,1,0.280049485094663,0.367465930249846,0.40043246706443
5,3,"unbalanced","normal","homogeneous",0,0.1243,0.0525,0.280072673766836,0.367504454118875,0.172944553975995
6,3,"unbalanced","normal","homogeneous",0.4243,0.3009,0.271,0.280049089261848,0.367505745607897,0.19083241097668
8,3,"unbalanced","normal","homogeneous",1,0.8725,0.8945,0.280045438109583,0.367509811584204,0.219891373661411
10,3,"unbalanced","normal","homogeneous",1,0.9988,0.9971,0.28005334888803,0.367506232932408,0.237321119206398
5,5,"unbalanced","normal","homogeneous",0.0365,0.1943,0.067,0.280046784825078,0.367506700598757,0.230914884773472
6,5,"unbalanced","normal","homogeneous",0.7094,0.4261,0.4449,0.2800477113655,0.367509702081852,0.259241976460829
8,5,"unbalanced","normal","homogeneous",1,0.9386,0.9792,0.280064033987539,0.367508238126231,0.291392272276939
10,5,"unbalanced","normal","homogeneous",1,0.9993,0.9998,0.280044598815675,0.36748847665706,0.317530879878068
5,8,"unbalanced","normal","homogeneous",0.387,0.3238,0.178,0.280045646889991,0.367510985589066,0.274107779178773
6,8,"unbalanced","normal","homogeneous",0.9788,0.6223,0.7331,0.280049524561402,0.367506122995033,0.313018436785927
8,8,"unbalanced","normal","homogeneous",1,0.9867,0.9988,0.280045021920857,0.367510946937919,0.369467228256854
10,8,"unbalanced","normal","homogeneous",1,1,1,0.280058724887706,0.367509265167729,0.401203610832498
5,3,"balanced","poisson","heterogeneous",0,0.0927192276749799,0.0385,0.280248190279214,0.367469879518072,0.0946181212625842
6,3,"balanced","poisson","heterogeneous",0.3404,0.322057646116894,0.2437,0.28005170185265,0.367485182049111,0.0764701384109505
8,3,"balanced","poisson","heterogeneous",1,0.8617,0.9312,0.280070754716981,0.3675,0.04621969143734
10,3,"balanced","poisson","heterogeneous",1,0.9971,0.9976,0.280044101433296,0.367497691597415,0.0270731245092996
5,5,"balanced","poisson","heterogeneous",0.0242,0.19830798670561,0.0527,0.280045351473923,0.367502726281352,0.120088385051398
6,5,"balanced","poisson","heterogeneous",0.584,0.401241987179487,0.3679,0.280078895463511,0.367505995203837,0.0831753002628339
8,5,"balanced","poisson","heterogeneous",1,0.872774554910982,0.9579,0.280044101433296,0.367501578615028,0.0349885237642053
10,5,"balanced","poisson","heterogeneous",1,0.9889,0.9991,0.280057595392369,0.367478720281773,0.0142177736388259
5,8,"balanced","poisson","heterogeneous",0.2458,0.299363057324841,0.1159,0.280046003450258,0.367509428691158,0.128050810561631
6,8,"balanced","poisson","heterogeneous",0.9495,0.538569424964937,0.5818,0.280043501903208,0.367500993245927,0.0721453873846576
8,8,"balanced","poisson","heterogeneous",1,0.932593259325933,0.9883,0.280050346129641,0.367495634371048,0.0190450434322215
10,8,"balanced","poisson","heterogeneous",1,0.995199519951995,0.9996,0.280044717719396,0.367510985673967,0.00450171627933149
5,3,"unbalanced","poisson","heterogeneous",0,0.104838709677419,0.0372,0.280133928571428,0.36744966442953,0.0949541371517557
6,3,"unbalanced","poisson","heterogeneous",0.3522,0.311767651477216,0.2562,0.28007279344859,0.367502951593861,0.0765304170142423
8,3,"unbalanced","poisson","heterogeneous",1,0.8516,0.9231,0.280050959232614,0.367454661991479,0.0461708228102333
10,3,"unbalanced","poisson","heterogeneous",1,0.9948,0.9972,0.280052321778941,0.367493112947658,0.0271470610591697
5,5,"unbalanced","poisson","heterogeneous",0.0242,0.192746742095161,0.0515,0.280044059556366,0.3675,0.119631534872592
6,5,"unbalanced","poisson","heterogeneous",0.5844,0.405974338412189,0.3759,0.280047782406273,0.367506710408589,0.0820290711027988
8,5,"unbalanced","poisson","heterogeneous",1,0.868760628188457,0.9575,0.28004722117519,0.367504202555749,0.035440633395
10,5,"unbalanced","poisson","heterogeneous",1,0.99,0.9991,0.280050067831419,0.367483821884911,0.0141120553644156
5,8,"unbalanced","poisson","heterogeneous",0.2356,0.292170204123083,0.1155,0.280059523809524,0.367508543802617,0.129048909536714
6,8,"unbalanced","poisson","heterogeneous",0.9514,0.52820152549177,0.5731,0.280045805897509,0.367420851640455,0.0729916351586108
8,8,"unbalanced","poisson","heterogeneous",1,0.928292829282928,0.9833,0.280043756837006,0.367409492532645,0.0193075538873829
10,8,"unbalanced","poisson","heterogeneous",1,0.9942,0.9997,0.280053538093058,0.36746989180841,0.00454353799851699
5,3,"balanced","poisson","homogeneous",0,0.0943244600703164,0.0393,0.280293757649939,0.367469879518072,0.0952616838455237
6,3,"balanced","poisson","homogeneous",0.3506,0.325090108129756,0.2574,0.280069726902963,0.367469879518072,0.0759099707746612
8,3,"balanced","poisson","homogeneous",1,0.853370674134827,0.9267,0.280092592592593,0.3675,0.0470393437070766
10,3,"balanced","poisson","homogeneous",1,0.9968,0.9981,0.280044101433296,0.367497691597414,0.0274422957126901
5,5,"balanced","poisson","homogeneous",0.0234,0.20080604534005,0.0526,0.280045351473923,0.367502726281353,0.118344595794033
6,5,"balanced","poisson","homogeneous",0.5895,0.406531757162893,0.3736,0.280045351473923,0.367505995203837,0.0826391643527701
8,5,"balanced","poisson","homogeneous",1,0.8693,0.9584,0.280044101433297,0.367487980769231,0.0352914188914965
10,5,"balanced","poisson","homogeneous",1,0.9877,0.9983,0.280047600158667,0.3675111263266,0.014407851702864
5,8,"balanced","poisson","homogeneous",0.2443,0.296371171535429,0.1166,0.280043501903208,0.367501723741669,0.127546139816078
6,8,"balanced","poisson","homogeneous",0.9495,0.54121540312876,0.5861,0.280043111190947,0.367467149977345,0.0719818030002015
8,8,"balanced","poisson","homogeneous",1,0.931593159315932,0.9857,0.280049776571073,0.367503001959173,0.0189524237307088
10,8,"balanced","poisson","homogeneous",1,0.9944,0.9997,0.280043826883809,0.367445568232774,0.00441427045352215
5,3,"unbalanced","poisson","homogeneous",0,0.106095717884131,0.0381,0.280080213903743,0.3675,0.0949270959902795
6,3,"unbalanced","poisson","homogeneous",0.3458,0.313201121794872,0.248,0.280074914160857,0.367503504524022,0.0746625253852586
8,3,"unbalanced","poisson","homogeneous",1,0.8535,0.9237,0.280046932766598,0.36742914688534,0.0468579407809344
10,3,"unbalanced","poisson","homogeneous",1,0.993,0.998,0.280049245124085,0.367506102280169,0.0269529428570658
5,5,"unbalanced","poisson","homogeneous",0.0251,0.189517353030456,0.0522,0.280049725651577,0.3675,0.120347080981551
6,5,"unbalanced","poisson","homogeneous",0.5922,0.401283465356462,0.3744,0.280054945054945,0.367508959760469,0.0808041630304793
